REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2026/02/01 00:05:00,879.2,85.09,TRADE
TAS1,2026/02/01 00:10:00,875.76,82.81,TRADE
TAS1,2026/02/01 00:15:00,874.95,60.06,TRADE
TAS1,2026/02/01 00:20:00,872.58,60.06,TRADE
TAS1,2026/02/01 00:25:00,862.25,60.06,TRADE
TAS1,2026/02/01 00:30:00,860.52,80.06,TRADE
TAS1,2026/02/01 00:35:00,862.11,80.06,TRADE
TAS1,2026/02/01 00:40:00,845.21,84.50,TRADE
TAS1,2026/02/01 00:45:00,849.94,85.09,TRADE
TAS1,2026/02/01 00:50:00,829.48,81.43,TRADE
TAS1,2026/02/01 00:55:00,834.54,81.43,TRADE
TAS1,2026/02/01 01:00:00,845.53,85.09,TRADE
TAS1,2026/02/01 01:05:00,860.52,81.33,TRADE
TAS1,2026/02/01 01:10:00,869.16,80.06,TRADE
TAS1,2026/02/01 01:15:00,875.22,78.55,TRADE
TAS1,2026/02/01 01:20:00,865.31,78.55,TRADE
TAS1,2026/02/01 01:25:00,861.58,79.33,TRADE
TAS1,2026/02/01 01:30:00,861.85,81.33,TRADE
TAS1,2026/02/01 01:35:00,863.35,81.33,TRADE
TAS1,2026/02/01 01:40:00,864.98,78.55,TRADE
TAS1,2026/02/01 01:45:00,860.16,81.33,TRADE
TAS1,2026/02/01 01:50:00,866.28,79.53,TRADE
TAS1,2026/02/01 01:55:00,861.66,79.53,TRADE
TAS1,2026/02/01 02:00:00,853.56,79.56,TRADE
TAS1,2026/02/01 02:05:00,849.59,79.53,TRADE
TAS1,2026/02/01 02:10:00,839.66,79.53,TRADE
TAS1,2026/02/01 02:15:00,842.92,81.33,TRADE
TAS1,2026/02/01 02:20:00,845.26,78.55,TRADE
TAS1,2026/02/01 02:25:00,846.16,79.53,TRADE
TAS1,2026/02/01 02:30:00,838.95,81.33,TRADE
TAS1,2026/02/01 02:35:00,836.12,78.55,TRADE
TAS1,2026/02/01 02:40:00,837.87,85.09,TRADE
TAS1,2026/02/01 02:45:00,839.39,78.55,TRADE
TAS1,2026/02/01 02:50:00,840.32,80.06,TRADE
TAS1,2026/02/01 02:55:00,834.8,84.63,TRADE
TAS1,2026/02/01 03:00:00,839.38,66.71,TRADE
TAS1,2026/02/01 03:05:00,832.86,84.56,TRADE
TAS1,2026/02/01 03:10:00,842.21,81.89,TRADE
TAS1,2026/02/01 03:15:00,834.03,82.18,TRADE
TAS1,2026/02/01 03:20:00,834.1,84.56,TRADE
TAS1,2026/02/01 03:25:00,837.53,85.09,TRADE
TAS1,2026/02/01 03:30:00,837.71,85.09,TRADE
TAS1,2026/02/01 03:35:00,826.67,84.56,TRADE
TAS1,2026/02/01 03:40:00,831.46,84.56,TRADE
TAS1,2026/02/01 03:45:00,845.41,85.09,TRADE
TAS1,2026/02/01 03:50:00,843.42,85.09,TRADE
TAS1,2026/02/01 03:55:00,832.99,84.56,TRADE
TAS1,2026/02/01 04:00:00,836.25,84.56,TRADE
TAS1,2026/02/01 04:05:00,833.83,82.91,TRADE
TAS1,2026/02/01 04:10:00,841,85.75,TRADE
TAS1,2026/02/01 04:15:00,842.74,83.31,TRADE
TAS1,2026/02/01 04:20:00,839.06,82.93,TRADE
TAS1,2026/02/01 04:25:00,846.23,83.08,TRADE
TAS1,2026/02/01 04:30:00,844.79,82.51,TRADE
TAS1,2026/02/01 04:35:00,840.14,83.57,TRADE
TAS1,2026/02/01 04:40:00,844.3,85.13,TRADE
TAS1,2026/02/01 04:45:00,854.79,80.04,TRADE
TAS1,2026/02/01 04:50:00,856.38,83.57,TRADE
TAS1,2026/02/01 04:55:00,845.87,80.04,TRADE
TAS1,2026/02/01 05:00:00,845.38,82.04,TRADE
TAS1,2026/02/01 05:05:00,848.11,82.04,TRADE
TAS1,2026/02/01 05:10:00,862.13,83.57,TRADE
TAS1,2026/02/01 05:15:00,860.68,82.04,TRADE
TAS1,2026/02/01 05:20:00,857.61,82.04,TRADE
TAS1,2026/02/01 05:25:00,853.23,80.04,TRADE
TAS1,2026/02/01 05:30:00,862.46,80.04,TRADE
TAS1,2026/02/01 05:35:00,862.28,80.04,TRADE
TAS1,2026/02/01 05:40:00,853.22,73.97,TRADE
TAS1,2026/02/01 05:45:00,848.75,76.40,TRADE
TAS1,2026/02/01 05:50:00,843.82,74.24,TRADE
TAS1,2026/02/01 05:55:00,846.07,78.04,TRADE
TAS1,2026/02/01 06:00:00,851.44,78.04,TRADE
TAS1,2026/02/01 06:05:00,859.94,80.04,TRADE
TAS1,2026/02/01 06:10:00,861.47,80.04,TRADE
