REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2026/05/01 00:05:00,941.79,83.22,TRADE
TAS1,2026/05/01 00:10:00,932.25,78.97,TRADE
TAS1,2026/05/01 00:15:00,931.96,78.97,TRADE
TAS1,2026/05/01 00:20:00,930.4,79.70,TRADE
TAS1,2026/05/01 00:25:00,929.39,79.70,TRADE
TAS1,2026/05/01 00:30:00,928.61,79.70,TRADE
TAS1,2026/05/01 00:35:00,934.22,88.08,TRADE
TAS1,2026/05/01 00:40:00,931.48,88.08,TRADE
TAS1,2026/05/01 00:45:00,933.32,76.73,TRADE
TAS1,2026/05/01 00:50:00,927.94,74.24,TRADE
TAS1,2026/05/01 00:55:00,925.55,74.25,TRADE
TAS1,2026/05/01 01:00:00,926.37,74.25,TRADE
TAS1,2026/05/01 01:05:00,930.82,74.25,TRADE
TAS1,2026/05/01 01:10:00,926.42,74.24,TRADE
TAS1,2026/05/01 01:15:00,925.5,74.20,TRADE
TAS1,2026/05/01 01:20:00,926.45,74.25,TRADE
TAS1,2026/05/01 01:25:00,930.83,74.95,TRADE
TAS1,2026/05/01 01:30:00,924.25,74.20,TRADE
TAS1,2026/05/01 01:35:00,927.31,74.90,TRADE
TAS1,2026/05/01 01:40:00,926.42,74.20,TRADE
TAS1,2026/05/01 01:45:00,921.38,74.15,TRADE
TAS1,2026/05/01 01:50:00,925.24,74.14,TRADE
TAS1,2026/05/01 01:55:00,924.76,74.14,TRADE
TAS1,2026/05/01 02:00:00,922.98,74.14,TRADE
TAS1,2026/05/01 02:05:00,927.63,75,TRADE
TAS1,2026/05/01 02:10:00,923.2,74.90,TRADE
TAS1,2026/05/01 02:15:00,923.87,74.90,TRADE
TAS1,2026/05/01 02:20:00,924.34,74.90,TRADE
TAS1,2026/05/01 02:25:00,914.22,74.90,TRADE
TAS1,2026/05/01 02:30:00,921.86,72.94,TRADE
TAS1,2026/05/01 02:35:00,914.88,72.94,TRADE
TAS1,2026/05/01 02:40:00,919.21,74.90,TRADE
TAS1,2026/05/01 02:45:00,922.11,72.93,TRADE
TAS1,2026/05/01 02:50:00,916.49,72.93,TRADE
TAS1,2026/05/01 02:55:00,923.56,84.22,TRADE
TAS1,2026/05/01 03:00:00,932.55,83.89,TRADE
TAS1,2026/05/01 03:05:00,929.13,84.92,TRADE
TAS1,2026/05/01 03:10:00,936.04,84.92,TRADE
TAS1,2026/05/01 03:15:00,936.54,84.92,TRADE
TAS1,2026/05/01 03:20:00,931.28,84.21,TRADE
TAS1,2026/05/01 03:25:00,927.26,84.21,TRADE
TAS1,2026/05/01 03:30:00,929.72,84.21,TRADE
TAS1,2026/05/01 03:35:00,926.18,84.92,TRADE
TAS1,2026/05/01 03:40:00,926.91,83.88,TRADE
TAS1,2026/05/01 03:45:00,931.51,71.91,TRADE
TAS1,2026/05/01 03:50:00,932.84,72.93,TRADE
TAS1,2026/05/01 03:55:00,926.29,72.93,TRADE
TAS1,2026/05/01 04:00:00,902.66,71.93,TRADE
TAS1,2026/05/01 04:05:00,902.51,73.51,TRADE
TAS1,2026/05/01 04:10:00,898.49,73.90,TRADE
TAS1,2026/05/01 04:15:00,900.08,73.18,TRADE
TAS1,2026/05/01 04:20:00,898.07,73.93,TRADE
TAS1,2026/05/01 04:25:00,912.74,74.63,TRADE
TAS1,2026/05/01 04:30:00,920.97,85.61,TRADE
TAS1,2026/05/01 04:35:00,921.71,85.64,TRADE
TAS1,2026/05/01 04:40:00,930.74,85.62,TRADE
TAS1,2026/05/01 04:45:00,925.79,85.62,TRADE
TAS1,2026/05/01 04:50:00,920.27,74.63,TRADE
TAS1,2026/05/01 04:55:00,918.64,74.64,TRADE
TAS1,2026/05/01 05:00:00,923.43,73.92,TRADE
TAS1,2026/05/01 05:05:00,926.46,73.92,TRADE
TAS1,2026/05/01 05:10:00,935.11,74.63,TRADE
TAS1,2026/05/01 05:15:00,938.2,74.66,TRADE
TAS1,2026/05/01 05:20:00,937.32,73.92,TRADE
TAS1,2026/05/01 05:25:00,942.33,74.94,TRADE
TAS1,2026/05/01 05:30:00,945.17,74.93,TRADE
TAS1,2026/05/01 05:35:00,952.23,73.20,TRADE
TAS1,2026/05/01 05:40:00,963.64,74.94,TRADE
TAS1,2026/05/01 05:45:00,971.98,73.65,TRADE
TAS1,2026/05/01 05:50:00,978.35,74.66,TRADE
TAS1,2026/05/01 05:55:00,976.84,76.90,TRADE
TAS1,2026/05/01 06:00:00,986.87,87.90,TRADE
TAS1,2026/05/01 06:05:00,994.17,74.93,TRADE
TAS1,2026/05/01 06:10:00,1010.47,87.90,TRADE
TAS1,2026/05/01 06:15:00,1011.72,87.90,TRADE
TAS1,2026/05/01 06:20:00,1021.01,88,TRADE
TAS1,2026/05/01 06:25:00,1034.09,88,TRADE
TAS1,2026/05/01 06:30:00,1030.96,86.14,TRADE
TAS1,2026/05/01 06:35:00,1034.54,69.19,TRADE
TAS1,2026/05/01 06:40:00,1055.58,70.14,TRADE
TAS1,2026/05/01 06:45:00,1054.77,70.14,TRADE
TAS1,2026/05/01 06:50:00,1064.45,70.14,TRADE
TAS1,2026/05/01 06:55:00,1066.65,70.14,TRADE
TAS1,2026/05/01 07:00:00,1073.63,70.14,TRADE
TAS1,2026/05/01 07:05:00,1081.54,64.76,TRADE
TAS1,2026/05/01 07:10:00,1089.02,70.14,TRADE
TAS1,2026/05/01 07:15:00,1087.32,70.14,TRADE
