REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2026/01/01 00:05:00,851.79,39.63,TRADE
TAS1,2026/01/01 00:10:00,842.26,39.37,TRADE
TAS1,2026/01/01 00:15:00,839.69,39.37,TRADE
TAS1,2026/01/01 00:20:00,837.36,39.37,TRADE
TAS1,2026/01/01 00:25:00,834.46,39.37,TRADE
TAS1,2026/01/01 00:30:00,836.69,39.16,TRADE
TAS1,2026/01/01 00:35:00,837.19,39.63,TRADE
TAS1,2026/01/01 00:40:00,833.5,39.63,TRADE
TAS1,2026/01/01 00:45:00,833.8,39.63,TRADE
TAS1,2026/01/01 00:50:00,833.46,39.63,TRADE
TAS1,2026/01/01 00:55:00,834.67,39.69,TRADE
TAS1,2026/01/01 01:00:00,841.2,39.76,TRADE
TAS1,2026/01/01 01:05:00,839.17,39.69,TRADE
TAS1,2026/01/01 01:10:00,847.41,39.76,TRADE
TAS1,2026/01/01 01:15:00,851.91,40.10,TRADE
TAS1,2026/01/01 01:20:00,852.4,39.76,TRADE
TAS1,2026/01/01 01:25:00,856.39,40.10,TRADE
TAS1,2026/01/01 01:30:00,852.6,39.76,TRADE
TAS1,2026/01/01 01:35:00,855.4,39.15,TRADE
TAS1,2026/01/01 01:40:00,857.22,40.14,TRADE
TAS1,2026/01/01 01:45:00,857.56,39.15,TRADE
TAS1,2026/01/01 01:50:00,853.75,39.15,TRADE
TAS1,2026/01/01 01:55:00,853.11,39.15,TRADE
TAS1,2026/01/01 02:00:00,851.8,39.15,TRADE
TAS1,2026/01/01 02:05:00,850.27,39.15,TRADE
TAS1,2026/01/01 02:10:00,846.89,39.15,TRADE
TAS1,2026/01/01 02:15:00,842.52,39.15,TRADE
TAS1,2026/01/01 02:20:00,844.22,39.15,TRADE
TAS1,2026/01/01 02:25:00,842.49,39.15,TRADE
TAS1,2026/01/01 02:30:00,845.27,39.76,TRADE
TAS1,2026/01/01 02:35:00,842.21,39.15,TRADE
TAS1,2026/01/01 02:40:00,844.43,39.15,TRADE
TAS1,2026/01/01 02:45:00,844.79,39.15,TRADE
TAS1,2026/01/01 02:50:00,841.85,39.15,TRADE
TAS1,2026/01/01 02:55:00,844.42,39.15,TRADE
TAS1,2026/01/01 03:00:00,844.25,39.15,TRADE
TAS1,2026/01/01 03:05:00,843.72,39.69,TRADE
TAS1,2026/01/01 03:10:00,838.58,39.63,TRADE
TAS1,2026/01/01 03:15:00,842.79,39.69,TRADE
TAS1,2026/01/01 03:20:00,837.67,39.69,TRADE
TAS1,2026/01/01 03:25:00,841.9,39.69,TRADE
TAS1,2026/01/01 03:30:00,839.93,39.69,TRADE
TAS1,2026/01/01 03:35:00,844.14,42.89,TRADE
TAS1,2026/01/01 03:40:00,844.21,48.94,TRADE
TAS1,2026/01/01 03:45:00,844.02,48.68,TRADE
TAS1,2026/01/01 03:50:00,837.61,48.94,TRADE
TAS1,2026/01/01 03:55:00,846.8,40.10,TRADE
TAS1,2026/01/01 04:00:00,834.29,52.14,TRADE
TAS1,2026/01/01 04:05:00,850.28,65.12,TRADE
TAS1,2026/01/01 04:10:00,840.67,48.80,TRADE
TAS1,2026/01/01 04:15:00,853.14,53.14,TRADE
TAS1,2026/01/01 04:20:00,857.38,46.14,TRADE
TAS1,2026/01/01 04:25:00,864.73,48.96,TRADE
TAS1,2026/01/01 04:30:00,855.4,48.95,TRADE
TAS1,2026/01/01 04:35:00,853.38,49.02,TRADE
TAS1,2026/01/01 04:40:00,857.32,48.94,TRADE
TAS1,2026/01/01 04:45:00,859.46,62.70,TRADE
TAS1,2026/01/01 04:50:00,858.99,63.32,TRADE
TAS1,2026/01/01 04:55:00,857.13,58.82,TRADE
TAS1,2026/01/01 05:00:00,855.73,57.08,TRADE
TAS1,2026/01/01 05:05:00,851.56,62.76,TRADE
TAS1,2026/01/01 05:10:00,861.49,62.81,TRADE
TAS1,2026/01/01 05:15:00,862.37,62.82,TRADE
TAS1,2026/01/01 05:20:00,863.11,62.88,TRADE
TAS1,2026/01/01 05:25:00,859.68,62.36,TRADE
TAS1,2026/01/01 05:30:00,855.97,62.36,TRADE
TAS1,2026/01/01 05:35:00,852.67,60.77,TRADE
TAS1,2026/01/01 05:40:00,842.67,62.60,TRADE
TAS1,2026/01/01 05:45:00,838.52,65.99,TRADE
TAS1,2026/01/01 05:50:00,834.1,59.85,TRADE
TAS1,2026/01/01 05:55:00,834.94,59.89,TRADE
TAS1,2026/01/01 06:00:00,842.5,57.92,TRADE
TAS1,2026/01/01 06:05:00,847.94,59.89,TRADE
TAS1,2026/01/01 06:10:00,855.43,57.14,TRADE
TAS1,2026/01/01 06:15:00,860.21,57.34,TRADE
TAS1,2026/01/01 06:20:00,859.52,52.89,TRADE
TAS1,2026/01/01 06:25:00,863.02,56.38,TRADE
TAS1,2026/01/01 06:30:00,861.6,53.36,TRADE
TAS1,2026/01/01 06:35:00,863.58,61.18,TRADE
TAS1,2026/01/01 06:40:00,865.37,59.45,TRADE
TAS1,2026/01/01 06:45:00,864.97,55.35,TRADE
TAS1,2026/01/01 06:50:00,859.99,53.62,TRADE
TAS1,2026/01/01 06:55:00,859.87,53.13,TRADE
TAS1,2026/01/01 07:00:00,856.01,53.79,TRADE
TAS1,2026/01/01 07:05:00,856.75,57.56,TRADE
TAS1,2026/01/01 07:10:00,853.64,45.12,TRADE
TAS1,2026/01/01 07:15:00,848.73,30.08,TRADE
TAS1,2026/01/01 07:20:00,841.44,16.63,TRADE
TAS1,2026/01/01 07:25:00,826.33,0.04,TRADE
TAS1,2026/01/01 07:30:00,830.22,18.92,TRADE
TAS1,2026/01/01 07:35:00,832.88,45.12,TRADE
TAS1,2026/01/01 07:40:00,842.11,28.06,TRADE
TAS1,2026/01/01 07:45:00,826.71,28.06,TRADE
TAS1,2026/01/01 07:50:00,836.6,45.12,TRADE
TAS1,2026/01/01 07:55:00,850.14,31.53,TRADE
TAS1,2026/01/01 08:00:00,840.23,15.84,TRADE
TAS1,2026/01/01 08:05:00,840.31,45.12,TRADE
TAS1,2026/01/01 08:10:00,846.13,45.12,TRADE
TAS1,2026/01/01 08:15:00,846.53,45.12,TRADE
