REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2026/06/01 00:05:00,915.88,80.02,TRADE
TAS1,2026/06/01 00:10:00,905.36,80.02,TRADE
TAS1,2026/06/01 00:15:00,904.12,80.02,TRADE
TAS1,2026/06/01 00:20:00,914.04,80.02,TRADE
TAS1,2026/06/01 00:25:00,918.98,80.02,TRADE
TAS1,2026/06/01 00:30:00,908.91,87.04,TRADE
TAS1,2026/06/01 00:35:00,911.92,87.04,TRADE
TAS1,2026/06/01 00:40:00,914.83,87.04,TRADE
TAS1,2026/06/01 00:45:00,913.44,87.04,TRADE
TAS1,2026/06/01 00:50:00,916.51,87.06,TRADE
TAS1,2026/06/01 00:55:00,915.18,87.04,TRADE
TAS1,2026/06/01 01:00:00,910.9,87.04,TRADE
TAS1,2026/06/01 01:05:00,910.98,87.06,TRADE
TAS1,2026/06/01 01:10:00,910.08,87.06,TRADE
TAS1,2026/06/01 01:15:00,904.42,80.02,TRADE
TAS1,2026/06/01 01:20:00,909.96,80.02,TRADE
TAS1,2026/06/01 01:25:00,897.39,80.02,TRADE
TAS1,2026/06/01 01:30:00,894.04,80.02,TRADE
TAS1,2026/06/01 01:35:00,899.6,80.02,TRADE
TAS1,2026/06/01 01:40:00,895.03,80.02,TRADE
TAS1,2026/06/01 01:45:00,897.2,87.04,TRADE
TAS1,2026/06/01 01:50:00,887.99,80.02,TRADE
TAS1,2026/06/01 01:55:00,877.5,80.02,TRADE
TAS1,2026/06/01 02:00:00,886.21,80.02,TRADE
TAS1,2026/06/01 02:05:00,890.23,80.02,TRADE
TAS1,2026/06/01 02:10:00,886.76,80.02,TRADE
TAS1,2026/06/01 02:15:00,877.15,80.02,TRADE
TAS1,2026/06/01 02:20:00,873.69,80.02,TRADE
TAS1,2026/06/01 02:25:00,871.12,80.02,TRADE
TAS1,2026/06/01 02:30:00,881.27,80.02,TRADE
TAS1,2026/06/01 02:35:00,887.21,80.02,TRADE
TAS1,2026/06/01 02:40:00,881.55,80.02,TRADE
TAS1,2026/06/01 02:45:00,897.11,87.06,TRADE
TAS1,2026/06/01 02:50:00,914.12,87.04,TRADE
TAS1,2026/06/01 02:55:00,906.21,87.06,TRADE
TAS1,2026/06/01 03:00:00,901.57,87.06,TRADE
TAS1,2026/06/01 03:05:00,895.37,87.06,TRADE
TAS1,2026/06/01 03:10:00,888.7,87.04,TRADE
TAS1,2026/06/01 03:15:00,889.64,87.04,TRADE
TAS1,2026/06/01 03:20:00,895.2,87.04,TRADE
TAS1,2026/06/01 03:25:00,901.46,87.04,TRADE
TAS1,2026/06/01 03:30:00,893.09,87.04,TRADE
TAS1,2026/06/01 03:35:00,892.25,87.04,TRADE
TAS1,2026/06/01 03:40:00,881.84,87.04,TRADE
TAS1,2026/06/01 03:45:00,891.27,87.06,TRADE
TAS1,2026/06/01 03:50:00,899.11,87.06,TRADE
TAS1,2026/06/01 03:55:00,910,87.06,TRADE
TAS1,2026/06/01 04:00:00,911.05,87.04,TRADE
TAS1,2026/06/01 04:05:00,921.49,87.18,TRADE
TAS1,2026/06/01 04:10:00,929.92,87.20,TRADE
TAS1,2026/06/01 04:15:00,937.59,87.18,TRADE
TAS1,2026/06/01 04:20:00,932.65,87.18,TRADE
TAS1,2026/06/01 04:25:00,933.26,87.18,TRADE
TAS1,2026/06/01 04:30:00,929.49,87.20,TRADE
TAS1,2026/06/01 04:35:00,936.89,80.12,TRADE
TAS1,2026/06/01 04:40:00,946.8,80.12,TRADE
TAS1,2026/06/01 04:45:00,950.99,80.12,TRADE
TAS1,2026/06/01 04:50:00,959.1,80.12,TRADE
TAS1,2026/06/01 04:55:00,959.27,80.12,TRADE
TAS1,2026/06/01 05:00:00,971.79,80.12,TRADE
TAS1,2026/06/01 05:05:00,983.79,80.12,TRADE
TAS1,2026/06/01 05:10:00,983.24,80.12,TRADE
TAS1,2026/06/01 05:15:00,993.69,80.12,TRADE
TAS1,2026/06/01 05:20:00,994.65,80.12,TRADE
TAS1,2026/06/01 05:25:00,975.89,80.12,TRADE
TAS1,2026/06/01 05:30:00,991.39,87.18,TRADE
TAS1,2026/06/01 05:35:00,1006.47,80.12,TRADE
TAS1,2026/06/01 05:40:00,1033.83,80.12,TRADE
TAS1,2026/06/01 05:45:00,1056.18,87.18,TRADE
TAS1,2026/06/01 05:50:00,1061.37,87.18,TRADE
TAS1,2026/06/01 05:55:00,1070.2,87.18,TRADE
TAS1,2026/06/01 06:00:00,1086.72,87.20,TRADE
TAS1,2026/06/01 06:05:00,1096.35,87.20,TRADE
TAS1,2026/06/01 06:10:00,1104.09,80.12,TRADE
TAS1,2026/06/01 06:15:00,1124.79,87.18,TRADE
TAS1,2026/06/01 06:20:00,1135.19,87.18,TRADE
TAS1,2026/06/01 06:25:00,1155.16,87.18,TRADE
TAS1,2026/06/01 06:30:00,1172.34,87.20,TRADE
TAS1,2026/06/01 06:35:00,1184.97,87.20,TRADE
TAS1,2026/06/01 06:40:00,1202.78,87.20,TRADE
TAS1,2026/06/01 06:45:00,1217.75,87.20,TRADE
TAS1,2026/06/01 06:50:00,1229.51,87.20,TRADE
TAS1,2026/06/01 06:55:00,1243.83,87.20,TRADE
TAS1,2026/06/01 07:00:00,1242.51,97.02,TRADE
TAS1,2026/06/01 07:05:00,1238.17,87.20,TRADE
TAS1,2026/06/01 07:10:00,1237.2,87.18,TRADE
TAS1,2026/06/01 07:15:00,1262.07,87.20,TRADE
TAS1,2026/06/01 07:20:00,1277.19,87.20,TRADE
TAS1,2026/06/01 07:25:00,1288.02,87.20,TRADE
TAS1,2026/06/01 07:30:00,1308.55,97.04,TRADE
TAS1,2026/06/01 07:35:00,1329.59,97.02,TRADE
TAS1,2026/06/01 07:40:00,1346.73,97.04,TRADE
TAS1,2026/06/01 07:45:00,1339.64,97.04,TRADE
TAS1,2026/06/01 07:50:00,1340.08,97.04,TRADE
TAS1,2026/06/01 07:55:00,1347.07,97.04,TRADE
TAS1,2026/06/01 08:00:00,1350,97.99,TRADE
TAS1,2026/06/01 08:05:00,1348.01,97.02,TRADE
TAS1,2026/06/01 08:10:00,1348.39,87.20,TRADE
TAS1,2026/06/01 08:15:00,1341.73,87.20,TRADE
TAS1,2026/06/01 08:20:00,1333.94,87.20,TRADE
TAS1,2026/06/01 08:25:00,1317.52,87.20,TRADE
TAS1,2026/06/01 08:30:00,1322.07,87.20,TRADE
TAS1,2026/06/01 08:35:00,1317.88,87.20,TRADE
TAS1,2026/06/01 08:40:00,1314.37,87.20,TRADE
TAS1,2026/06/01 08:45:00,1306.37,87.20,TRADE
TAS1,2026/06/01 08:50:00,1300.4,87.20,TRADE
TAS1,2026/06/01 08:55:00,1294.66,87.20,TRADE
TAS1,2026/06/01 09:00:00,1283.12,87.20,TRADE
TAS1,2026/06/01 09:05:00,1275.21,87.20,TRADE
TAS1,2026/06/01 09:10:00,1280.28,87.20,TRADE
TAS1,2026/06/01 09:15:00,1268.49,87.18,TRADE
TAS1,2026/06/01 09:20:00,1276.65,87.18,TRADE
TAS1,2026/06/01 09:25:00,1268.22,87.20,TRADE
TAS1,2026/06/01 09:30:00,1268.37,87.20,TRADE
TAS1,2026/06/01 09:35:00,1261.87,86.48,TRADE
TAS1,2026/06/01 09:40:00,1257.59,80.20,TRADE
TAS1,2026/06/01 09:45:00,1249.07,87.20,TRADE
TAS1,2026/06/01 09:50:00,1253.59,97.04,TRADE
TAS1,2026/06/01 09:55:00,1245.33,80.20,TRADE
TAS1,2026/06/01 10:00:00,1233.49,80.18,TRADE
TAS1,2026/06/01 10:05:00,1238.19,87.20,TRADE
TAS1,2026/06/01 10:10:00,1245.85,87.19,TRADE
TAS1,2026/06/01 10:15:00,1245.48,87.20,TRADE
TAS1,2026/06/01 10:20:00,1236.14,80.12,TRADE
TAS1,2026/06/01 10:25:00,1228.74,80.12,TRADE
TAS1,2026/06/01 10:30:00,1223.21,80.12,TRADE
TAS1,2026/06/01 10:35:00,1220.98,80.12,TRADE
TAS1,2026/06/01 10:40:00,1215.91,82.11,TRADE
TAS1,2026/06/01 10:45:00,1230.97,84.82,TRADE
TAS1,2026/06/01 10:50:00,1216.75,80.12,TRADE
TAS1,2026/06/01 10:55:00,1222.09,87.18,TRADE
TAS1,2026/06/01 11:00:00,1216.73,85.13,TRADE
TAS1,2026/06/01 11:05:00,1208.42,80.12,TRADE
TAS1,2026/06/01 11:10:00,1216.02,87.20,TRADE
TAS1,2026/06/01 11:15:00,1211.37,85.76,TRADE
TAS1,2026/06/01 11:20:00,1205.78,87.18,TRADE
TAS1,2026/06/01 11:25:00,1202.41,75.12,TRADE
TAS1,2026/06/01 11:30:00,1193.69,76.04,TRADE
TAS1,2026/06/01 11:35:00,1187.21,86.13,TRADE
TAS1,2026/06/01 11:40:00,1186.89,81.83,TRADE
TAS1,2026/06/01 11:45:00,1176.62,76.86,TRADE
TAS1,2026/06/01 11:50:00,1172.27,75.12,TRADE
TAS1,2026/06/01 11:55:00,1163.72,75.18,TRADE
TAS1,2026/06/01 12:00:00,1163.76,76.04,TRADE
TAS1,2026/06/01 12:05:00,1161.16,87.18,TRADE
TAS1,2026/06/01 12:10:00,1159.95,80.12,TRADE
TAS1,2026/06/01 12:15:00,1156.55,80.12,TRADE
TAS1,2026/06/01 12:20:00,1155.6,80.12,TRADE
TAS1,2026/06/01 12:25:00,1151.61,80.12,TRADE
TAS1,2026/06/01 12:30:00,1129.61,75.12,TRADE
TAS1,2026/06/01 12:35:00,1131.12,75.12,TRADE
TAS1,2026/06/01 12:40:00,1133.37,77.47,TRADE
TAS1,2026/06/01 12:45:00,1132.36,78.11,TRADE
TAS1,2026/06/01 12:50:00,1122.89,75.12,TRADE
TAS1,2026/06/01 12:55:00,1128.8,75.12,TRADE
TAS1,2026/06/01 13:00:00,1137.95,75.12,TRADE
TAS1,2026/06/01 13:05:00,1133.07,87.12,TRADE
TAS1,2026/06/01 13:10:00,1130.7,87.12,TRADE
TAS1,2026/06/01 13:15:00,1133.01,75.04,TRADE
TAS1,2026/06/01 13:20:00,1121.82,75.12,TRADE
TAS1,2026/06/01 13:25:00,1121.91,76.19,TRADE
TAS1,2026/06/01 13:30:00,1130.95,87.18,TRADE
TAS1,2026/06/01 13:35:00,1119.34,87.18,TRADE
TAS1,2026/06/01 13:40:00,1131.13,84.32,TRADE
TAS1,2026/06/01 13:45:00,1113.71,87.18,TRADE
TAS1,2026/06/01 13:50:00,1118.99,87.18,TRADE
