REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2026/07/01 00:05:00,8080.22,74.05,TRADE
NSW1,2026/07/01 00:10:00,8188.48,77.19,TRADE
NSW1,2026/07/01 00:15:00,8222.81,103.73,TRADE
NSW1,2026/07/01 00:20:00,8129.67,98.52,TRADE
NSW1,2026/07/01 00:25:00,8121.23,82.96,TRADE
NSW1,2026/07/01 00:30:00,8093.9,77.40,TRADE
NSW1,2026/07/01 00:35:00,8047.74,82.96,TRADE
NSW1,2026/07/01 00:40:00,8016.85,82.96,TRADE
NSW1,2026/07/01 00:45:00,7962.41,98.52,TRADE
NSW1,2026/07/01 00:50:00,7970.39,97.84,TRADE
NSW1,2026/07/01 00:55:00,7894.82,74.05,TRADE
NSW1,2026/07/01 01:00:00,7912.25,79.04,TRADE
NSW1,2026/07/01 01:05:00,7871.22,100.94,TRADE
NSW1,2026/07/01 01:10:00,7813.82,93.14,TRADE
NSW1,2026/07/01 01:15:00,7768.5,82.96,TRADE
NSW1,2026/07/01 01:20:00,7707.17,82.96,TRADE
NSW1,2026/07/01 01:25:00,7673.02,83.74,TRADE
NSW1,2026/07/01 01:30:00,7615.51,84.94,TRADE
NSW1,2026/07/01 01:35:00,7589.23,84.94,TRADE
NSW1,2026/07/01 01:40:00,7556.48,84.94,TRADE
NSW1,2026/07/01 01:45:00,7508.73,82.96,TRADE
NSW1,2026/07/01 01:50:00,7490.44,89.01,TRADE
NSW1,2026/07/01 01:55:00,7484.67,89.01,TRADE
NSW1,2026/07/01 02:00:00,7424.53,82.96,TRADE
NSW1,2026/07/01 02:05:00,7412.71,89,TRADE
NSW1,2026/07/01 02:10:00,7352.69,87.04,TRADE
NSW1,2026/07/01 02:15:00,7282.08,87.02,TRADE
NSW1,2026/07/01 02:20:00,7277.74,82.96,TRADE
NSW1,2026/07/01 02:25:00,7234.36,82.96,TRADE
NSW1,2026/07/01 02:30:00,7186.31,82.96,TRADE
NSW1,2026/07/01 02:35:00,7146.38,86.52,TRADE
NSW1,2026/07/01 02:40:00,7211.92,89.01,TRADE
NSW1,2026/07/01 02:45:00,7189.03,87.64,TRADE
NSW1,2026/07/01 02:50:00,7172.28,82.96,TRADE
NSW1,2026/07/01 02:55:00,7110.9,85.99,TRADE
NSW1,2026/07/01 03:00:00,7045.7,84.92,TRADE
NSW1,2026/07/01 03:05:00,7023.56,82.96,TRADE
NSW1,2026/07/01 03:10:00,6975.66,82.96,TRADE
NSW1,2026/07/01 03:15:00,6970.32,82.96,TRADE
NSW1,2026/07/01 03:20:00,6977.72,89.01,TRADE
NSW1,2026/07/01 03:25:00,6917.99,89,TRADE
NSW1,2026/07/01 03:30:00,6944.24,82.96,TRADE
NSW1,2026/07/01 03:35:00,6910.7,82.96,TRADE
NSW1,2026/07/01 03:40:00,6905.13,83.71,TRADE
NSW1,2026/07/01 03:45:00,6935.29,89,TRADE
NSW1,2026/07/01 03:50:00,6963.97,89,TRADE
NSW1,2026/07/01 03:55:00,6987.61,85.91,TRADE
NSW1,2026/07/01 04:00:00,6964.66,89,TRADE
NSW1,2026/07/01 04:05:00,6971.06,74.06,TRADE
NSW1,2026/07/01 04:10:00,6997.85,77.94,TRADE
NSW1,2026/07/01 04:15:00,7031.51,79,TRADE
NSW1,2026/07/01 04:20:00,7030.1,79,TRADE
NSW1,2026/07/01 04:25:00,7012.49,82.98,TRADE
NSW1,2026/07/01 04:30:00,7054.57,74.06,TRADE
NSW1,2026/07/01 04:35:00,7051.44,78.38,TRADE
NSW1,2026/07/01 04:40:00,7045.42,79,TRADE
NSW1,2026/07/01 04:45:00,7075.32,82.98,TRADE
NSW1,2026/07/01 04:50:00,7064.61,82.98,TRADE
NSW1,2026/07/01 04:55:00,7116.15,79,TRADE
NSW1,2026/07/01 05:00:00,7118.1,75.81,TRADE
NSW1,2026/07/01 05:05:00,7185.43,79,TRADE
NSW1,2026/07/01 05:10:00,7313.3,82.74,TRADE
NSW1,2026/07/01 05:15:00,7371.72,95.87,TRADE
NSW1,2026/07/01 05:20:00,7401.06,79,TRADE
NSW1,2026/07/01 05:25:00,7485.03,82.98,TRADE
NSW1,2026/07/01 05:30:00,7459.07,82.98,TRADE
NSW1,2026/07/01 05:35:00,7569.56,62.76,TRADE
NSW1,2026/07/01 05:40:00,7651.61,84.79,TRADE
NSW1,2026/07/01 05:45:00,7671.19,97.43,TRADE
NSW1,2026/07/01 05:50:00,7698.73,84.79,TRADE
NSW1,2026/07/01 05:55:00,7795.62,88.88,TRADE
NSW1,2026/07/01 06:00:00,7836.33,86.94,TRADE
NSW1,2026/07/01 06:05:00,7928.39,86.90,TRADE
NSW1,2026/07/01 06:10:00,8087.6,92.95,TRADE
NSW1,2026/07/01 06:15:00,8199.01,93.43,TRADE
NSW1,2026/07/01 06:20:00,8322.54,107.52,TRADE
NSW1,2026/07/01 06:25:00,8446.08,97.67,TRADE
NSW1,2026/07/01 06:30:00,8496.72,108.84,TRADE
NSW1,2026/07/01 06:35:00,8606.82,110.49,TRADE
NSW1,2026/07/01 06:40:00,8712.72,119.75,TRADE
NSW1,2026/07/01 06:45:00,8835.31,116.82,TRADE
NSW1,2026/07/01 06:50:00,8882.04,117.82,TRADE
NSW1,2026/07/01 06:55:00,8974.01,115.72,TRADE
NSW1,2026/07/01 07:00:00,8974.75,114.88,TRADE
NSW1,2026/07/01 07:05:00,9028.09,112.10,TRADE
NSW1,2026/07/01 07:10:00,9110.9,114.54,TRADE
NSW1,2026/07/01 07:15:00,9227.06,118.39,TRADE
NSW1,2026/07/01 07:20:00,9269.28,115.73,TRADE
NSW1,2026/07/01 07:25:00,9365.31,121.09,TRADE
NSW1,2026/07/01 07:30:00,9431.68,118.57,TRADE
NSW1,2026/07/01 07:35:00,9456.1,121.09,TRADE
NSW1,2026/07/01 07:40:00,9493.26,115.29,TRADE
NSW1,2026/07/01 07:45:00,9462.22,116.54,TRADE
NSW1,2026/07/01 07:50:00,9506.03,118.26,TRADE
NSW1,2026/07/01 07:55:00,9528.95,113.94,TRADE
NSW1,2026/07/01 08:00:00,9439.16,111.01,TRADE
NSW1,2026/07/01 08:05:00,9434.85,115.18,TRADE
NSW1,2026/07/01 08:10:00,9415.23,117.12,TRADE
NSW1,2026/07/01 08:15:00,9409.33,129.45,TRADE
NSW1,2026/07/01 08:20:00,9321.05,122.12,TRADE
NSW1,2026/07/01 08:25:00,9259.21,108.84,TRADE
NSW1,2026/07/01 08:30:00,9183.64,108.84,TRADE
NSW1,2026/07/01 08:35:00,9184.5,115.18,TRADE
NSW1,2026/07/01 08:40:00,9091.36,114.54,TRADE
NSW1,2026/07/01 08:45:00,8987.02,115.18,TRADE
NSW1,2026/07/01 08:50:00,8911.42,108.84,TRADE
NSW1,2026/07/01 08:55:00,8852.74,111,TRADE
NSW1,2026/07/01 09:00:00,8805.21,111,TRADE
NSW1,2026/07/01 09:05:00,8714.48,115.18,TRADE
NSW1,2026/07/01 09:10:00,8830.53,111,TRADE
NSW1,2026/07/01 09:15:00,8726.65,111,TRADE
NSW1,2026/07/01 09:20:00,8671.97,97.67,TRADE
NSW1,2026/07/01 09:25:00,8675.15,82.98,TRADE
NSW1,2026/07/01 09:30:00,8640.66,82.98,TRADE
NSW1,2026/07/01 09:35:00,8515.41,74.06,TRADE
NSW1,2026/07/01 09:40:00,8609.76,82.98,TRADE
NSW1,2026/07/01 09:45:00,8524.42,99.01,TRADE
NSW1,2026/07/01 09:50:00,8432.39,99.01,TRADE
NSW1,2026/07/01 09:55:00,8471.79,80,TRADE
NSW1,2026/07/01 10:00:00,8416.21,97.67,TRADE
NSW1,2026/07/01 10:05:00,8258.48,88.88,TRADE
NSW1,2026/07/01 10:10:00,8262.32,111,TRADE
NSW1,2026/07/01 10:15:00,8245.75,111,TRADE
NSW1,2026/07/01 10:20:00,8190.94,111,TRADE
NSW1,2026/07/01 10:25:00,8188.64,82.98,TRADE
NSW1,2026/07/01 10:30:00,8110.6,82.98,TRADE
NSW1,2026/07/01 10:35:00,8028.48,82.98,TRADE
NSW1,2026/07/01 10:40:00,8038.72,88.88,TRADE
NSW1,2026/07/01 10:45:00,8011.38,88.88,TRADE
NSW1,2026/07/01 10:50:00,7989.3,88.88,TRADE
NSW1,2026/07/01 10:55:00,7924.86,82.98,TRADE
NSW1,2026/07/01 11:00:00,7866.42,82.98,TRADE
NSW1,2026/07/01 11:05:00,7732.45,82.98,TRADE
NSW1,2026/07/01 11:10:00,7852.54,95.95,TRADE
NSW1,2026/07/01 11:15:00,7798.44,84.32,TRADE
NSW1,2026/07/01 11:20:00,7784.02,82.98,TRADE
NSW1,2026/07/01 11:25:00,7815.26,82.98,TRADE
NSW1,2026/07/01 11:30:00,7751.65,82.98,TRADE
NSW1,2026/07/01 11:35:00,7812.29,82.98,TRADE
NSW1,2026/07/01 11:40:00,7770.4,82.98,TRADE
NSW1,2026/07/01 11:45:00,7679.23,82.98,TRADE
NSW1,2026/07/01 11:50:00,7657.56,82.98,TRADE
NSW1,2026/07/01 11:55:00,7618.15,82.98,TRADE
NSW1,2026/07/01 12:00:00,7589.2,82.98,TRADE
NSW1,2026/07/01 12:05:00,7620.29,82.98,TRADE
NSW1,2026/07/01 12:10:00,7594.38,92.14,TRADE
NSW1,2026/07/01 12:15:00,7559.67,82.98,TRADE
NSW1,2026/07/01 12:20:00,7475.34,87,TRADE
NSW1,2026/07/01 12:25:00,7460.97,82.98,TRADE
NSW1,2026/07/01 12:30:00,7410.93,82.98,TRADE
NSW1,2026/07/01 12:35:00,7406.98,82.98,TRADE
NSW1,2026/07/01 12:40:00,7444.95,88.23,TRADE
NSW1,2026/07/01 12:45:00,7332.8,84.79,TRADE
NSW1,2026/07/01 12:50:00,7313.96,82.98,TRADE
NSW1,2026/07/01 12:55:00,7245.67,84.51,TRADE
NSW1,2026/07/01 13:00:00,7183.98,82.98,TRADE
NSW1,2026/07/01 13:05:00,7202.03,82.98,TRADE
NSW1,2026/07/01 13:10:00,7228.63,84.04,TRADE
NSW1,2026/07/01 13:15:00,7217.36,88.88,TRADE
NSW1,2026/07/01 13:20:00,7250.59,88.88,TRADE
NSW1,2026/07/01 13:25:00,7363.78,88.88,TRADE
NSW1,2026/07/01 13:30:00,7390.91,88.43,TRADE
NSW1,2026/07/01 13:35:00,7423.6,85.11,TRADE
NSW1,2026/07/01 13:40:00,7493.37,88.87,TRADE
NSW1,2026/07/01 13:45:00,7540.22,77.48,TRADE
NSW1,2026/07/01 13:50:00,7592.16,76.46,TRADE
NSW1,2026/07/01 13:55:00,7659.39,82.98,TRADE
NSW1,2026/07/01 14:00:00,7571.16,82.98,TRADE
NSW1,2026/07/01 14:05:00,7642.07,82.98,TRADE
NSW1,2026/07/01 14:10:00,7645.23,82.98,TRADE
NSW1,2026/07/01 14:15:00,7745.51,91.60,TRADE
NSW1,2026/07/01 14:20:00,7856.98,93.86,TRADE
NSW1,2026/07/01 14:25:00,7974.12,96.95,TRADE
NSW1,2026/07/01 14:30:00,8040.38,96.31,TRADE
NSW1,2026/07/01 14:35:00,8162.39,91.10,TRADE
NSW1,2026/07/01 14:40:00,8192.37,97.34,TRADE
NSW1,2026/07/01 14:45:00,8224.63,97.29,TRADE
NSW1,2026/07/01 14:50:00,8345.58,97.81,TRADE
NSW1,2026/07/01 14:55:00,8396.57,88.88,TRADE
NSW1,2026/07/01 15:00:00,8360.23,88.88,TRADE
NSW1,2026/07/01 15:05:00,8449.58,82.98,TRADE
NSW1,2026/07/01 15:10:00,8429.51,82.98,TRADE
NSW1,2026/07/01 15:15:00,8459.31,82.98,TRADE
NSW1,2026/07/01 15:20:00,8488.41,82.98,TRADE
NSW1,2026/07/01 15:25:00,8531.02,82.98,TRADE
NSW1,2026/07/01 15:30:00,8543.28,82.98,TRADE
NSW1,2026/07/01 15:35:00,8586.47,100.81,TRADE
NSW1,2026/07/01 15:40:00,8659.32,83.91,TRADE
NSW1,2026/07/01 15:45:00,8711.85,82.98,TRADE
NSW1,2026/07/01 15:50:00,8738.97,82.98,TRADE
NSW1,2026/07/01 15:55:00,8758.89,111.01,TRADE
NSW1,2026/07/01 16:00:00,8755.55,111.01,TRADE
NSW1,2026/07/01 16:05:00,8764.89,88.88,TRADE
NSW1,2026/07/01 16:10:00,8772.04,105.62,TRADE
NSW1,2026/07/01 16:15:00,8830.78,108.84,TRADE
